Serviço,Descrição,Benefícios,O que inclui,Duração,Boas Escolhas,Mas Escolhas
Análise Facial,"Qual o peso do rosto na nossa imagem? Quando ouvimos o nome ou nos lembramos de uma pessoa qual é a primeira imagem que nos vem à cabeça? É a imagem do rosto. Porquê? Porque o rosto carrega em si a identidade do indivíduo.
O rosto é a parte do corpo que carrega um maior número de elementos expressivos na identificação de uma pessoa e é a parte do corpo que mais se relaciona com o mundo e com os outros. É através do nosso rosto de nos expressamos e que criamos a empatia com os nossos interlocutores.","Protagonismo do rosto na imagem
Os elementos de design na harmonização facial ( cabelo, armações, maquilhagem, acessórios
Conhecer os seus traços faciais como ferramenta de comunicação visual
Compreensão e estudo da anatomia do rosto
Percepção ruídos e desejos de imagem","entrevista
coloração pessoal
análise facial detalhada
propostas de elementos design(cabelo, armações, acessórios, roupa, maquilhagem)
book digital",0,"",""
Coloração Pessoal,"Já lhe aconteceu estar perfeitamente bem e alguém lhe perguntar se estava doente? Sabia que provavelmente seria porque estava a usar cores junto ao seu rosto que não favoreciam? Cores? Como assim?
Pode ser cor de cabelo, maquilhagem, óculos, acessórios até a roupa junto ao rosto.Sabe que cores favorecem mais o seu rosto? Descubra através de uma sessão de coloração pessoal!","Acompanhamento personalizado até ao objectivo definido;
Aumento da autoimagem e autoestima;
Fazer compras conscientes e não por impulso; Combinar cores de forma harmoniosa;
Evitar erros cromáticos e o medo de usar cor;
Serviço desenhado individualmente à medida das suas necessidades;
Organizar e coordenar o seu guarda-roupa;
Ter consciência da mudança que a Consultoria de Imagem fará na sua vida enquanto ferramenta facilitadora;
Fazer com que a escolha matinal do seu look se torne simples e intuitiva e não mais um momento stressante do seu dia.","teste de cores através do método sazonal expandido
identificação da paleta cromática
identificação de maquilhagem e acessórios
maquilhagem profissional
entrega de paleta cromática digital",0,"Suaviza a textura da pele;
Valoriza traços;
Traz uma aparência saudável e jovem;
Suaviza olheiras e marcas de expressão;
Minimiza imperfeições;","Evidencia manchas e sinais de expressão;
Destaca as imperfeições;
Denuncia sinais de cansaço;"
Closet Detox,"E quando abrimos o nosso guarda-roupa que se encontra repleto e dizemos ""não tenho nada para vestir!""?! Ajudamos a organizar o seu guarda-roupa de forma consciente e inteligente.","Organizar e limpar o seu armário de toda a ""poluição"" visual, para que o mesmo possa ser coerente, prático e faça sentido de modo a maximizar o seu potencial;
Muita roupa não implica necessariamente um guarda-roupa inteligente e adequado ao seu estilo e personalidade;
Identificar o seu guarda-roupa cápsula, transformando o seu armário com os alicerces certos para um guarda-roupa funcional e de sucesso.","deslocação a casa da cliente para uma triagem do guarda-roupa
organização de vários looks fotografados para colocar no armário (profissional, lazer, eventos)
organização por peças e por tons
elaboração de uma lista de compras com os possíveis itens em falta no guarda-roupa",0,"",""
Consultoria de Noivos,"""Só quero que o dia do meu casamento seja o mais feliz de sempre."" Somos os parceiros certos. Ajudamos no processo de escolha do vestido ou fato em função do seu tipo de corpo. Também não esquecemos maquilhagem, acessórios e o ramo para lançar às suas amigas.",,,0,"",""
Consultoria Escolha de Óculos,"Identificar os seus traços faciais, a sua paleta cromática e a mensagem que pretende passar são três passos muito importantes para que a sua vida fique mais fácil e intuitiva. Quando falamos em armações de óculos, por vezes temos dificuldade em saber quais as que nos favorecem mais e que cores nos ficam melhor.
Quando falamos de uma peça tão importante que estará sempre presente no nosso rosto, não acha que devemos reduzir a nossa margem de erro? Na minha consultoria de óculos todos esses pontos são analisados individualmente. Invista em si e na sua imagem.",,,0,"",""
Formacoes e Palestras,"Se tem uma destas perguntas, esta consultoria é para si! ""Tenho uma empresa, como posso melhorar a sua imagem?"", ""será que a imagem que passo no meu local de trabalho é profissional?"".",,,0,"",""
Consultoria de Imagem Inteligente,E se pudesse ter um profissional a fazer-lhe um acompanhamento personalizado para ajudar a identificar e trabalhar o seu estilo? Faça esta viagem do seu interior para o seu exterior.,"Identificar o seu estilo;
Saber explorar os seus pontos fortes e camuflar os menos positivos;
Acompanhamento personalizado até ao objetivo definido;
Organizar e coordenar o seu guarda-roupa;
Aumento da autoimagem e autoestima;
Ter consciência da mudança que a Consultoria de Imagem fará na sua vida enquanto ferramenta facilitadora;
Fazer compras consistentes e não por impulso;
Fazer com que a escolha matinal do seu look se torne simples e intuitiva e não mais um momento stressante do seu dia;
Combinar cores de forma harmoniosa;
Evitar erros cromáticos e o medo de usar cor.","entrevista
coloração pessoal
análise facial (básica)
análise de biótipo
book digital",0,"",""
Consultoria Imagem Inteligente Total,Gostaria de trabalhar a sua imagem de A a Z? Aqui encontra a consultoria mais completa e gratificante. Torne a sua imagem numa imagem inteligente.,"Serviço desenhado individualmente à medida das suas necessidades;
Aumento da autoimagem e autoestima;
Acompanhamento personalizado até ao objectivo definido;
Ter consciência da mudança que a Consultoria de Imagem fará na sua vida enquanto ferramenta facilitadora;
Organizar e coordenar o seu guarda-roupa;
Fazer compras conscientes e não por impulso;
Combinar cores de forma harmoniosa;
Fazer com que a escolha matinal do seu look se torne simples e intuitiva e não mais um momento stressante do seu dia;
Evitar erro cromáticos e o medo de usar cor.","plano de identidade visual
coloração pessoal
primeira visita ao guarda-roupa do cliente
segunda visita ao guarda-roupa do cliente
book digital",0,"",""
Maquilhagem Profissional,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Aliquam malesuada bibendum arcu vitae. Habitasse platea dictumst quisque sagittis purus sit amet volutpat consequat.
Orci a scelerisque purus semper eget. Hac habitasse platea dictumst quisque sagittis purus. Ac odio tempor orci dapibus. Eget arcu dictum varius duis. Tellus integer feugiat scelerisque varius morbi enim nunc. Elit pellentesque habitant morbi tristique.",,,0,"",""
Personal Shopping,"Ajudamos na ida às compras para escolher os melhores cortes, cores e padrões para si. Tornamos as compras num momento consciente e prazeroso.","Compras mais inteligentes e conscientes, aprendendo a investir nas peças certas e deixando de fazer compras por impulso desperdiçando dinheiro em peças inúteis ou que não o favoreçam;
Escolhas baseadas em objectivos previamente estabelecidos pelo cliente fará com que as escolhas sejam em função do seu estilo de vida e tipo de corpo;
Conhecendo o seu corpo fará escolhas mais acertadas;
Passará a visualizar as compras como um momento de prazer e não de stress.","plano de identidade visual
acompanhamento personalizado nas compras ou podemos fazer as compras por si
aconselhamento de ajustes e proporções",0,"",""